Rank,Player,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,"<span title=""hard-court elo rating"">hElo</span title=""hard-court elo rating"">","<span title=""clay-court elo rating"">cElo</span title=""clay-court elo rating"">","<span title=""grass-court elo rating"">gElo</span title=""grass-court elo rating"">",    ,Peak Match,Peak Age,Peak Elo
169,Bjorn Fratangelo,28.8,1583.7,,1521.4,1538.4,1431.6,,1552.5,1561.1,1507.7,,2017 Ilkley CH R16,23.9,1736.8
170,Emilio Gomez,30.4,1582.8,,1554,1350.6,1189.6,,1568.4,1466.7,1386.2,,2022 Tallahassee CH R32,30.4,1600
171,Zhizhen Zhang,25.5,1578.5,,1367.4,1533.2,1522.2,,1472.9,1555.8,1550.3,,2020 Bendigo CH R64,23.2,1623.5
172,Dimitar Kuzmanov,28.8,1578.4,,1483.2,1525.3,1450.4,,1530.8,1551.8,1514.4,,2021 Barcelona CH F,28.2,1614.6
173,Luca Nardi,18.7,1576.8,,1538.1,1397.5,-,,1557.4,1487.2,1488.4,,2022 Barletta CH QF,18.7,1615.3
174,Christian Harrison,27.9,1576.2,,1447.5,1526.4,1506.4,,1511.9,1551.3,1541.3,,2021 Orlando 1 CH QF,26.9,1608.7
175,Alessandro Giannessi,31.9,1575.4,,1296.4,1555.2,1279,,1435.9,1565.3,1427.2,,2011 Napoli2 CH SF,21.3,1728.7
176,Cedrik Marcel Stebe,31.6,1574.5,,1562.9,1479.4,1416.1,,1568.7,1526.9,1495.3,,2017 Sibiu CH F,26.9,1805.8
177,Frederico Ferreira Silva,26.8,1572.8,,1506.9,1441.6,1472.2,,1539.8,1507.2,1522.5,,2021 Nur-Sultan 2 CH R16,26,1662.4
178,Andrey Kuznetsov,31.2,1571.9,,1519.1,1571.2,1494.5,,1545.5,1571.6,1533.2,,2016 Moscow R32,25.7,1877.5
179,Mate Valkusz,23.7,1571.5,,1282.3,1516.6,-,,1426.9,1544,1485.7,,2022 Mauthausen CH QF,23.7,1600.2
180,Gastao Elias,31.4,1570.3,,1370.7,1540.6,1262.2,,1470.5,1555.4,1416.2,,2016 Rio Olympics R64,25.7,1723.9
181,Zizou Bergs,22.8,1569.6,,1505,1481,-,,1537.3,1525.3,1484.8,,2021 Braunschweig CH R16,22.1,1724.9
182,Gilles Simon,37.3,1568.6,,1558,1480,1508.4,,1563.3,1524.3,1538.5,,2009 Rotterdam R32,24.1,2015.9
183,Tennys Sandgren,30.8,1566.4,,1509,1455.8,1526.7,,1537.7,1511.1,1546.6,,2020 Roland Garros R128,29.2,1779.1
184,Jozef Kovalik,29.5,1566.1,,1401.1,1545.8,1302.9,,1483.6,1555.9,1434.5,,2018 Hamburg QF,25.7,1706.8
185,Evan Furness,23.7,1565.5,,1418.7,1480,-,,1492.1,1522.7,1482.7,,2022 Ostrava CH F,23.7,1583
186,Constant Lestienne,29.9,1564.7,,1567.3,1379.9,1284.2,,1566,1472.3,1424.5,,2018 Antwerp Qual,26.4,1637.9
187,Matthew Ebden,34.4,1562,,1502,1262.6,1564.3,,1532,1412.3,1563.2,,2018 Shanghai R16,30.9,1778.4
188,Illya Marchenko,34.6,1559,,1502.8,1320,1442.1,,1530.9,1439.5,1500.5,,2010 Marseille Qual,22.4,1776.3
189,Franco Agamenone,29,1558.8,,1401.2,1564.1,-,,1480,1561.5,1479.4,,2021 Ercolano CH QF,28.5,1699.3
190,Alexander Ritschard,28.1,1557.9,,1451.5,1466.8,-,,1504.7,1512.4,1479,,2022 Santa Cruz De La Sierra CH R32,28,1586.6
191,Matthias Bachinger,34.8,1554.2,,1499.7,1441.2,1453.4,,1527,1497.7,1503.8,,2011 Granby CH SF,24.3,1704.1
192,Mario Vilella Martinez,26.7,1552.9,,1481.4,1523.3,1307,,1517.2,1538.1,1430,,2021 Tampere CH R16,26,1679.1
193,Salvatore Caruso,29.4,1551.9,,1501.5,1501.1,1465.2,,1526.7,1526.5,1508.5,,2019 US Open Qual,26.7,1710.6
194,Yuichi Sugita,33.6,1550.4,,1500.8,1303.2,1524.9,,1525.6,1426.8,1537.6,,2017 Cincinnati R16,28.9,1788.9
195,Maximilian Marterer,26.9,1548.8,,1542,1432.3,1346.8,,1545.4,1490.5,1447.8,,2018 Stuttgart R32,23,1804.7
196,Tomas Barrios Vera,24.4,1548.1,,1369.8,1475.8,1504.3,,1458.9,1511.9,1526.2,,2021 Meerbusch CH F,23.7,1667.9
197,Ryan Peniston,26.5,1547.5,,1426.6,1463.7,1271.8,,1487,1505.6,1409.6,,2021 Antalya 3 CH SF,26.1,1614.4
198,Manuel Guinard,26.5,1545.9,,1391.2,1498.2,-,,1468.5,1522,1472.9,,2022 Zadar CH QF,26.3,1631.1
199,Jason Kubler,28.9,1544.9,,1466.6,1340.6,1477.4,,1505.8,1442.8,1511.2,,2018 US Open R128,25.3,1695.1
200,Hugo Grenier,26.1,1544.8,,1480.5,1361.7,-,,1512.7,1453.2,1472.4,,2022 Bendigo CH R16,25.8,1654
201,Max Purcell,24.1,1543.8,,1504,1325.2,1516.2,,1523.9,1434.5,1530,,2021 Washington Qual,23.3,1650.4
202,Robin Haase,35,1539.6,,1519.7,1466.8,1536.6,,1529.6,1503.2,1538.1,,2011 Winston-Salem QF,24.4,1858.2
203,Enzo Couacaud,27.2,1537.6,,1528.8,1333.2,1438.1,,1533.2,1435.4,1487.8,,2020 Pau CH R32,25,1622.3
204,Antoine Escoffier,30.2,1536.7,,1521.4,1091.1,-,,1529.1,1313.9,1468.4,,2022 Saint-Brieuc CH QF,30.1,1570.2
205,Tim Van Rijthoven,25,1535.7,,1504.4,1151.6,-,,1520,1343.6,1467.8,,2022 Forli 5 CH QF,24.8,1647.8
206,Gian Marco Moroni,24.2,1535.3,,1411.9,1492.5,-,,1473.6,1513.9,1467.6,,2018 Vicenza CH QF,20.3,1668.1
207,Alex Bolt,29.2,1532.2,,1493.1,1128.3,1559,,1512.7,1330.3,1545.6,,2019 Indian Wells R128,26.2,1668.7
208,Thomas Fabbiano,32.9,1529,,1451.4,1449.7,1528,,1490.2,1489.4,1528.5,,2017 Eastbourne R32,28.1,1694.7
209,Alexandre Muller,25.2,1527.8,,1441.6,1465.1,1291.8,,1484.7,1496.4,1409.8,,2021 Doha Aus Open Qualies Qual,23.9,1633
210,Kacper Zuk,23.3,1527,,1512.1,1424.5,1449.3,,1519.5,1475.7,1488.1,,2021 Prague 1 CH R32,22.3,1746.8
211,Gerald Melzer,31.8,1526.6,,1412.5,1493.2,1447.4,,1469.6,1509.9,1487,,2018 Quito R16,27.6,1707.5
212,Jonas Forejtek,21.1,1525.7,,1484.6,1401,-,,1505.2,1463.3,1462.9,,2022 Ostrava CH R16,21.1,1571.2
213,Bernard Tomic,29.5,1525.6,,1512.6,1399.2,1543.6,,1519.1,1462.4,1534.6,,2016 Australian Open R32,23.2,1945
214,Andrea Vavassori,26.9,1522.7,,1411.5,1481.1,-,,1467.1,1501.9,1461.3,,2021 Bari CH R16,26.6,1595.3
215,Marius Copil,31.5,1521.5,,1480.9,1389.5,1557.9,,1501.2,1455.5,1539.7,,2018 Basel SF,28,1756.9
216,Jay Clarke,23.7,1520.7,,1503.2,1294.9,1273,,1512,1407.8,1396.9,,2019 Nanchang CH R32,20.7,1633.3
217,Sergiy Stakhovsky,36,1520.4,,1453.4,1457.2,1523,,1486.9,1488.8,1521.7,,2010 Kuala Lumpur R32,24.7,1844.5
218,Felipe Meligeni Alves,24.2,1520,,1247.8,1490.2,1339,,1383.9,1505.1,1429.5,,2021 Doha Aus Open Qualies Qual,22.9,1680.3
219,Lukas Klein,24.1,1519.3,,1293.2,1437.3,1508.2,,1406.3,1478.3,1513.8,,2021 Warsaw CH R16,23.4,1604.6
220,Leandro Riedi,20.2,1518.9,,1497.6,1299.3,-,,1508.2,1409.1,1459.5,,2022 Lugano CH SF,20.1,1580.6
221,Mirza Basic,30.8,1518.5,,1413.6,1466.6,1267.9,,1466,1492.5,1393.2,,2018 Sofia F,26.6,1710.6
222,Pedro Sousa,33.9,1516.4,,1187.7,1503.1,1396.3,,1352.1,1509.8,1456.4,,2017 Rome CH R32,29.3,1698.7
223,Ernests Gulbis,33.5,1515.5,,1482.3,1442.2,1479,,1498.9,1478.8,1497.3,,2014 Roland Garros QF,25.7,2048.2
224,Jesper De Jong,21.9,1515.4,,1409.7,1478,-,,1462.6,1496.7,1457.7,,2022 Traralgon CH QF,21.6,1671.2
225,Tung Lin Wu,24,1512,,1371.6,1451.9,-,,1441.8,1482,1456,,2019 Gwangju CH R16,21,1583.2
226,Evgeny Donskoy,31.9,1509.2,,1464.9,1372.1,1428.6,,1487,1440.7,1468.9,,2015 Pune CH SF,25.5,1721.4
227,Lukas Lacko,34.5,1506.8,,1441.7,1246.8,1506.5,,1474.3,1376.8,1506.7,,2012 Dallas2 CH R16,24.3,1793.1
228,Borna Gojo,24.2,1506.6,,1532.9,1282.2,1279.8,,1519.8,1394.4,1393.2,,2021 Doha Aus Open Qualies Qual,22.9,1630
229,Vitaliy Sachko,24.8,1505.7,,1419.7,1455.3,-,,1462.7,1480.5,1452.8,,2021 Trieste CH R16,24,1613.7
230,Gijs Brouwer,26.1,1505.6,,1308.7,1376,-,,1407.2,1440.8,1452.8,,2022 Sarasota CH R32,26.1,1541.2
231,Dmitry Popko,25.5,1505.1,,1414.5,1480.9,1287.8,,1459.8,1493,1396.4,,2020 Bangkok CH QF,23.2,1617.6
232,Thiago Agustin Tirante,20.9,1504.3,,1341.7,1488.5,-,,1423,1496.4,1452.2,,2021 Ambato CH F,20.4,1663.2
233,Nino Serdarusic,25.4,1503.8,,1346.9,1448.5,1349.4,,1425.3,1476.1,1426.6,,2022 Oeiras 1 CH SF,25.3,1557
234,Zdenek Kolar,25.6,1501.4,,1357.8,1471.6,1369.6,,1429.6,1486.5,1435.5,,2021 Szczecin CH F,24.9,1597.1
235,Cem Ilkel,26.5,1500.7,,1460.7,1345.3,1273.4,,1480.7,1423,1387.1,,2021 Bergamo CH SF,26.2,1604.7
236,Altug Celikbilek,25.6,1494.2,,1441.8,1298.7,1502,,1468,1396.4,1498.1,,2021 Segovia CH R16,24.9,1696.5
237,Thai Son Kwiatkowski,26.8,1493.9,,1427.9,1437.4,1224.2,,1460.9,1465.6,1359,,2020 Indian Wells CH R64,25,1634.4
238,Dalibor Svrcina,19.6,1493.3,,1304,1434.1,-,,1398.7,1463.7,1446.7,,2021 Prague 2 CH F,18.9,1596.5
239,Ramkumar Ramanathan,27.5,1491,,1411.9,1345,1546.4,,1451.5,1418,1518.7,,2018 Nanchang CH R16,23.4,1605.9
240,Sumit Nagal,24.7,1491,,1378,1420.2,1346.9,,1434.5,1455.6,1419,,2019 Campinas CH QF,22.1,1717.1
241,Facundo Mena,29.5,1489.7,,1228.4,1465.4,-,,1359,1477.5,1444.8,,2019 Banja Luka CH R16,27,1603
242,Geoffrey Blancaneaux,23.7,1488.9,,1363.6,1472.5,1346,,1426.3,1480.7,1417.5,,2022 Traralgon CH R32,23.4,1503.5
243,Daniel Masur,27.5,1487.1,,1435.5,1321.3,1437.8,,1461.3,1404.2,1462.5,,2021 Lugano CH R16,26.4,1598.7
244,Genaro Alberto Olivieri,23.7,1486.9,,1385,1453.8,-,,1436,1470.4,1443.5,,2021 Prague 3 CH QF,23.1,1524.2
245,Renzo Olivo,30.1,1486.2,,1304.1,1457.2,1253.3,,1395.2,1471.7,1369.8,,2015 Buenos Aires R32,22.9,1651.7
246,Alexis Galarneau,23.1,1485.2,,1445.9,1289.1,-,,1465.5,1387.1,1442.6,,2022 Lille CH R16,23.1,1509
247,Giulio Zeppieri,20.4,1484.1,,1251,1444.4,-,,1367.6,1464.3,1442,,2021 Como CH R32,19.7,1604.7
248,Timofey Skatov,21.3,1483.7,,1480.5,1380.1,-,,1482.1,1431.9,1441.9,,2021 Trieste CH QF,20.5,1599.5
249,Filip Horansky,29.3,1483.6,,1382,1487.2,1213,,1432.8,1485.4,1348.3,,2021 Las Palmas 1 CH R16,28.1,1581.5
250,Duje Ajdukovic,21.2,1482.3,,1272,1448.6,-,,1377.1,1465.5,1441.2,,2021 Antalya 1 CH R16,20,1596.8
251,Carlos Gimeno Valero,20.9,1481.9,,1288.7,1418.8,-,,1385.3,1450.3,1440.9,,2021 Las Palmas 2 CH F,19.7,1625.8
252,Prajnesh Gunneswaran,32.4,1480.4,,1460.8,1258.8,1279.2,,1470.6,1369.6,1379.8,,2019 Anning CH SF,29.4,1728.3
253,Michael Vrbensky,22,1479.7,,1363.8,1416,-,,1421.8,1447.8,1439.8,,2021 Amersfoort CH R32,21.5,1577.7
254,Tobias Kamke,35.8,1479.3,,1431,1363.1,1429.2,,1455.2,1421.2,1454.2,,2012 Australian Open R128,25.7,1755
255,Kyrian Jacquet,21,1479.3,,1304.5,1453.9,-,,1391.9,1466.6,1439.6,,2021 Tampere CH QF,20.2,1601.1
256,Lukas Rosol,36.8,1477.5,,1465.9,1429.5,1474.4,,1471.7,1453.5,1476,,2014 Winston-Salem F,29.1,1880.7
257,Ruben Bemelmans,34.2,1474.7,,1405.2,1380.4,1532.6,,1439.9,1427.6,1503.7,,2012 Orleans CH SF,24.7,1707.9
258,Mathias Bourgue,28.3,1473,,1475.5,1379.5,1367.2,,1474.3,1426.3,1420.1,,2021 Biella 4 CH R16,27.2,1664.6
259,Andrea Arnaboldi,34.3,1472.3,,1351.5,1423.9,1501.6,,1411.9,1448.1,1487,,2015 Cortina CH QF,27.6,1593.7
260,Eduard Esteve Lobato,27.5,1470.4,,-,1439.9,-,,1345.2,1455.1,1435.2,,2022 Zadar CH R16,27.5,1530.5
261,Antoine Bellier,25.5,1470,,1254.4,1458.3,-,,1362.2,1464.1,1435,,2022 San Luis Potosi CH F,25.5,1506.8
262,Jelle Sels,26.7,1469.4,,1406.5,1340.3,1357.1,,1438,1404.8,1413.2,,2019 Sibiu CH QF,24.1,1511.7
263,Aleksandar Kovacevic,23.7,1468.6,,1376.3,1291.3,-,,1422.4,1379.9,1434.3,,2021 Las Vegas CH QF,23.2,1570.1
264,Nicolas Moreno De Alboran,24.8,1468.1,,1469.7,1286.5,-,,1468.9,1377.3,1434,,2022 Salinas CH SF,24.7,1536.1
265,Darian King,29.7,1467.8,,1451.4,1298.1,1369.6,,1459.6,1383,1418.7,,2017 Davis Cup G2 R2,24.9,1703.5
266,Juan Pablo Ficovich,25.3,1467.7,,1249.4,1513.6,1373.7,,1358.5,1490.7,1420.7,,2020 Alicante CH R16,23.7,1582.3
267,Nikola Milojevic,26.9,1467.4,,1432.3,1394.6,1404.5,,1449.8,1431,1436,,2021 Zagreb CH R16,25.9,1628.5
268,Denis Istomin,35.6,1465.5,,1424.3,1428.2,1433.6,,1444.9,1446.9,1449.6,,2012 Indian Wells R32,25.5,1849.3
269,Benjamin Hassan,27.2,1464.3,,1311.8,1444,-,,1388.1,1454.2,1432.2,,2019 Prostejov CH R16,24.3,1631.1
270,Adrian Andreev,20.9,1464.2,,1405.3,1328.8,-,,1434.7,1396.5,1432.1,,2021 Singapore R32,19.8,1509.6
271,Kimmer Coppejans,28.1,1464.2,,1413.1,1405.4,1169,,1438.6,1434.8,1316.6,,2015 Turin CH SF,21.2,1686.6
272,Guido Andreozzi,30.4,1462.1,,1395.9,1458.2,1231.6,,1429,1460.1,1346.8,,2018 Roland Garros Qual,26.8,1734
273,Blaz Rola,31.6,1461.8,,1415,1437.1,1397.5,,1438.4,1449.4,1429.7,,2014 Panama City CH SF,23.4,1729.7
274,Andrea Collarini,30.2,1461.7,,1177.4,1428,1319.6,,1319.6,1444.9,1390.7,,2019 Buenos Aires CH R16,27.6,1557.7
275,Riccardo Bonadio,28.8,1460.2,,1229,1396.4,-,,1344.6,1428.3,1430.1,,2021 Las Palmas 1 CH R16,27.6,1564
276,Lorenzo Giustino,30.6,1456.6,,1326.6,1426.8,1229.2,,1391.6,1441.7,1342.9,,2019 Blois CH QF,27.8,1628.8
277,Matheus Pucinelli De Almeida,21.1,1456.6,,-,1434.5,-,,1338.3,1445.5,1428.3,,2022 Concepcion CH R16,20.9,1632.5
278,Go Soeda,37.5,1454.6,,1394.7,1299.5,1493.8,,1424.6,1377.1,1474.2,,2012 Kaohsiung CH F,27.6,1706.9
279,Nicola Kuhn,22.1,1454,,1367.1,1417.3,1443.5,,1410.5,1435.6,1448.7,,2017 Meerbusch CH QF,17.4,1600.8
280,Andrej Martin,32.6,1451.7,,1272.7,1410.1,1171.7,,1362.2,1430.9,1311.7,,2014 US Open Qual,24.9,1665.5
281,Raul Brancaccio,25,1451,,1282.3,1414.5,-,,1366.6,1432.7,1425.5,,2021 Bari CH R16,24.6,1496.7
282,Jason Jung,32.9,1450.9,,1407.6,1264.2,1467.5,,1429.3,1357.5,1459.2,,2018 Zhuhai CH QF,28.7,1652.2
283,Murkel Alejandro Dellien Velasco,24.6,1450.8,,1500,1418.2,1500,,1475.4,1434.5,1475.4,,2022 Tigre CH QF,24.3,1599.8
284,Thiago Seyboth Wild,22,1448.7,,1337.4,1417.8,1348.9,,1393,1433.2,1398.8,,2020 Aix En Provence CH SF,20.5,1729.7
285,Arthur Fils,17.9,1447.7,,1379.7,1318.6,-,,1413.7,1383.2,1423.9,,2022 Lille CH R16,17.8,1488.8
286,Federico Gaio,30.2,1447.4,,1360.4,1433.4,1387.5,,1403.9,1440.4,1417.4,,2019 San Benedetto CH QF,27.4,1603.5
287,Santiago Fa Rodriguez Taverna,22.8,1446.9,,1186.8,1431.8,-,,1316.8,1439.3,1423.4,,2022 Concepcion CH SF,22.5,1654.3
288,Brayden Schnur,26.7,1445.6,,1379.3,1358.5,1435.8,,1412.4,1402,1440.7,,2019 New York SF,23.6,1705.7
289,Yasutaka Uchiyama,29.5,1444.3,,1370.8,1216.9,1382.5,,1407.5,1330.6,1413.4,,2019 Playford CH SF,27.2,1723.9
290,Noah Rubin,26.2,1443.2,,1427.9,1385.3,1365.6,,1435.6,1414.3,1404.4,,2018 Washington R32,22.4,1709.2
291,Gonzalo Lama,29,1441.4,,1147.1,1410.7,-,,1294.2,1426.1,1420.7,,2016 Sao Paulo CH F,23,1595.1
292,Donald Young,32.7,1438.2,,1386.5,1379.8,1454,,1412.4,1409,1446.1,,2017 Miami R32,27.7,1837
293,Marc Polmans,24.8,1436.6,,1339.4,1374.1,1433.3,,1388,1405.3,1434.9,,2020 Cologne 1 Qual,23.4,1602.5
294,Nicolas Alvarez Varona,20.9,1435.9,,1256.3,1359.6,-,,1346.1,1397.7,1417.9,,2021 Rio De Janeiro CH SF,20.6,1479.5
295,Paolo Lorenzi,39.7,1434.6,,1437.8,1423,1217.9,,1436.2,1428.8,1326.3,,2017 Quito SF,35.1,1784.6
296,Harold Mayot,20.1,1433.8,,1364,1294.1,-,,1398.9,1363.9,1416.9,,2020 Aix En Provence CH R32,18.6,1567.3
297,Daniel Michalski,22.3,1431.1,,1498.9,1406.7,1500,,1465,1418.9,1465.6,,2018 Sopot CH R32,18.5,1576.1
298,Miljan Zekic,33.8,1430.5,,1278.6,1378.6,1426.4,,1354.5,1404.6,1428.4,,2016 Banja Luka CH SF,28.2,1606.9
299,Lucas Miedler,25.9,1430.2,,1385,1350.1,1339,,1407.6,1390.1,1384.6,,2019 Roland Garros Qual,22.9,1499.7
300,Andrea Pellegrino,25.1,1429.1,,1240.6,1401.9,1374.9,,1334.8,1415.5,1402,,2021 Lyon CH R16,24.2,1548
301,Nicolas Kicker,29.7,1428.5,,1372.9,1415.4,1297.8,,1400.7,1422,1363.2,,2018 Madrid Qual,25.7,1689.8
302,Tatsuma Ito,33.5,1427.3,,1388.7,1172.6,1411.8,,1408,1300,1419.5,,2012 Dusseldorf RR,24,1729
303,Calvin Hemery,27.3,1426.9,,1344.9,1439.8,1352.1,,1385.9,1433.4,1389.5,,2015 Padova CH QF,20.4,1643.2
304,Gonzalo Villanueva,27.3,1424,,1146.3,1419.8,-,,1285.2,1421.9,1412,,2022 Salvador De Bahia CH QF,27.3,1440.4
305,Rinky Hijikata,21.2,1422.7,,1432.4,1146.9,-,,1427.5,1284.8,1411.3,,2022 Australian Open Qual,20.9,1538.9
306,Nerman Fatic,27.5,1422.2,,1319.8,1409.2,1500,,1371,1415.7,1461.1,,2021 Perugia CH R16,26.7,1573.7
307,Tristan Lamasine,29.1,1422.1,,1395.5,1336.9,1475.8,,1408.8,1379.5,1448.9,,2015 Alphen CH QF,22.5,1624.6
308,Adrian Menendez Maceiras,36.5,1420.3,,1373.9,1363.2,1339.5,,1397.1,1391.8,1379.9,,2015 Leon CH SF,29.4,1615.3
309,Peter Polansky,33.4,1419.6,,1377.2,1267.7,1354.3,,1398.4,1343.7,1386.9,,2009 Cali CH R32,21.2,1643.8
310,Arthur Cazaux,19.7,1416.7,,1297.1,1328.5,-,,1356.9,1372.6,1408.3,,2022 Aguascalientes CH R16,19.7,1434.7
311,Matteo Arnaldi,21.2,1415.4,,1130.7,1405.8,-,,1273,1410.6,1407.7,,2022 Rome CH R32,21.2,1437.1
312,Aidan Mchugh,21.5,1412.9,,1376,-,1275,,1394.5,1316.5,1344,,2021 Knoxville CH R16,21.3,1465.2
313,Antoine Hoang,26.5,1412.9,,1335.7,1361.1,1601.7,,1374.3,1387,1507.3,,2019 Montpellier R32,23.3,1715.6
314,Teymuraz Gabashvili,36.5,1412.9,,1427.5,1333.8,1420.7,,1420.2,1373.3,1416.8,,2009 Casablanca R16,23.9,1794
315,Steven Diez,31.1,1412,,1359.2,1376.1,1285.6,,1385.6,1394.1,1348.8,,2019 Ningbo CH SF,28.6,1602.1
316,Johan Nikles,25.1,1409.6,,1312.9,1344.3,-,,1361.2,1376.9,1404.8,,2022 Las Palmas CH R16,24.9,1490.4
317,Govind Nanda,21.2,1408.7,,1329.8,1276.1,-,,1369.2,1342.4,1404.3,,2022 Savannah CH R32,21.2,1429.6
318,Filip Misolic,20.7,1407.7,,-,1373.8,-,,1313.9,1390.7,1403.9,,2021 Losinj CH R16,20.2,1482
319,Joao Menezes,25.4,1406.7,,1365.8,1363.5,1339,,1386.2,1385.1,1372.8,,2019 US Open Qual,22.7,1636.8
320,Filip Cristian Jianu,20.6,1405.2,,1344.2,1345.5,1439.1,,1374.7,1375.4,1422.2,,2019 Sibiu CH R32,18,1617.3
321,Roberto Marcora,32.2,1403.2,,1348.1,1360.2,1261.4,,1375.6,1381.7,1332.3,,2020 Cherbourg CH SF,30.4,1634.7
322,Ulises Blanch,24,1402.8,,1375.7,1255.8,1380.3,,1389.2,1329.3,1391.6,,2020 Roland Garros Qual,22.5,1590.8
323,Alexander Shevchenko,21.4,1401.9,,1290.8,1344.2,-,,1346.4,1373,1400.9,,2022 Mauthausen CH R32,21.4,1418.1
324,Stefano Napolitano,27,1401.8,,1344.7,1376,1420.1,,1373.2,1388.9,1410.9,,2016 Ortisei CH F,21.6,1617.3
325,Michael Geerts,27.3,1401.8,,1360.9,1248.3,-,,1381.4,1325,1400.9,,2021 Manacor CH QF,26.6,1523.8
326,Mohamed Safwat,31.6,1399.9,,1332,1398.9,1414.9,,1366,1399.4,1407.4,,2020 Bengaluru CH R32,29.4,1629.1
327,Emilio Nava,20.4,1399.4,,1376.2,1336.9,1500,,1387.8,1368.1,1449.7,,2019 Monterrey CH R64,17.3,1536.8
328,Mikael Torpegaard,28,1398.3,,1386,1306.8,1355.3,,1392.2,1352.5,1376.8,,2016 Las Vegas CH R16,22.4,1765.6
329,Oleksii Krutykh,22.1,1397.5,,1369.8,1320.7,-,,1383.7,1359.1,1398.8,,2021 Kyiv CH R16,21.5,1471.2
330,Zachary Svajda,19.3,1394.8,,1366.7,1418.3,1500,,1380.8,1406.6,1447.4,,2019 Fairfield CH R64,16.9,1491
331,Ergi Kirkin,23.2,1392.6,,1342,1290.6,1372.7,,1367.3,1341.6,1382.7,,2021 Istanbul 1 CH R16,22,1431.7
332,Nikolas Sanchez Izquierdo,23.1,1392.4,,1162.3,1353.3,-,,1277.4,1372.9,1396.2,,2021 Oeiras 4 CH R16,22.2,1449.3
333,Julian Lenz,29.2,1391.9,,1348.8,1318.7,1349.8,,1370.3,1355.3,1370.8,,2019 Augsburg CH QF,26.5,1557.7
334,Alexis Gautier,25,1390.7,,-,1358.2,-,,1305.4,1374.5,1395.4,,2021 Santiago 1 CH R32,24.5,1508.4
335,Francesco Passaro,21.3,1390.1,,-,1367.5,-,,1305,1378.8,1395,,2022 Barletta CH R32,21.3,1431.5
336,Javier Barranco Cosano,23.4,1389.4,,1154.9,1341.2,-,,1272.1,1365.3,1394.7,,2021 Antalya 4 CH R32,23.1,1458.3
337,Akira Santillan,24.9,1389.2,,1324.4,1281.5,1315.7,,1356.8,1335.3,1352.4,,2017 US Open Qual,20.3,1665.3
338,Hiroki Moriya,31.4,1388.1,,1321.2,1154.2,1344.9,,1354.6,1271.1,1366.5,,2012 Brisbane Qual,22.2,1568.9
339,Elliot Benchetrit,23.5,1386.2,,1377.7,1317.6,-,,1381.9,1351.9,1393.1,,2019 Lyon CH R64,20.7,1598.4
340,Evgenii Tiurnev,25,1385.4,,1340.9,1278,-,,1363.2,1331.7,1392.7,,2022 Forli 2 CH R32,24.8,1465.9
341,Evgeny Karlovskiy,27.7,1384.9,,1369.9,1164.5,1375.6,,1377.4,1274.7,1380.2,,2019 Eckental CH QF,25.2,1554.5
342,Luciano Darderi,20.2,1384.4,,1201.5,1342.9,-,,1293,1363.7,1392.2,,2022 Buenos Aires CH R32,20.2,1427.5
343,Malek Jaziri,38.3,1383.2,,1362.3,1390.9,1344.8,,1372.8,1387.1,1364,,2017 Miami R64,33.2,1794.2
344,Mats Rosenkranz,23.7,1381.9,,1354.5,1236,-,,1368.2,1308.9,1390.9,,2022 Ostrava CH R16,23.7,1401.1
345,Danilo Petrovic,29.8,1381.6,,1321.4,1379.2,1250.1,,1351.5,1380.4,1315.9,,2020 Rennes CH QF,28,1592.2
346,Nicolas Alvarez,25.9,1381.1,,1197.3,1367.2,-,,1289.2,1374.1,1390.5,,2022 Salinas CH R32,25.8,1426.3
347,Michail Pervolarakis,25.8,1380.9,,1311.2,1199.7,-,,1346.1,1290.3,1390.5,,2020 Launceston CH R32,23.7,1488.6
348,Pedro Sakamoto,28.6,1380.4,,1268.1,1344.1,-,,1324.2,1362.3,1390.2,,2019 Rome CH R64,25.9,1478.7
349,Facundo Diaz Acosta,21.4,1378.5,,1064.9,1384.6,-,,1221.7,1381.6,1389.3,,2022 Blumenau CH R16,21.1,1420.3
350,Matteo Viola,34.7,1378.5,,1352,1245.2,1360.3,,1365.2,1311.8,1369.4,,2012 Doha Qual,25.5,1645.2
351,Yannick Maden,32.4,1367.5,,1324.4,1388.4,1425.3,,1345.9,1377.9,1396.4,,2019 Lille CH SF,29.4,1693
352,Igor Sijsling,34.1,1364.8,,1305.5,1409,1529.2,,1335.2,1386.9,1447,,2013 Newport R16,25.9,1814.3
353,Roberto Quiroz,30.2,1362.8,,1321.4,1317.1,1395.5,,1342.1,1340,1379.1,,2021 Delray Beach R16,28.9,1544.4
354,Yunseong Chung,24.1,1362.3,,1319.2,1332.3,1329.7,,1340.8,1347.3,1346,,2019 Gwangju CH R32,21.1,1564.7
355,Otto Virtanen,20.7,1360.8,,1302.7,1315.9,-,,1331.7,1338.4,1380.4,,2021 Ismaning CH R32,20.3,1479.7
356,Maxime Janvier,25.5,1359.5,,1318.6,1335,1341.9,,1339.1,1347.3,1350.7,,2019 Vancouver CH QF,22.8,1582.4
357,Hernan Casanova,28.2,1357.8,,1176.5,1318.2,-,,1267.2,1338,1378.9,,2022 Tigre CH R16,27.9,1438.5
358,Denis Yevseyev,28.9,1354.9,,1307.7,1176,-,,1331.3,1265.5,1377.5,,2022 Forli 1 CH R32,28.6,1414.7
