Rank,Player,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,"<span title=""hard-court elo rating"">hElo</span title=""hard-court elo rating"">","<span title=""clay-court elo rating"">cElo</span title=""clay-court elo rating"">","<span title=""grass-court elo rating"">gElo</span title=""grass-court elo rating"">",    ,Peak Match,Peak Age,Peak Elo
43,Thanasi Kokkinakis,25.9,1825.3,,1763.7,1661.2,1373.6,,1794.5,1743.3,1599.5,,2015 Queen's Club R32,19.2,1867.6
44,Alexander Bublik,24.9,1824.3,,1747.4,1531.6,1587.6,,1785.8,1678,1705.9,,2022 Indian Wells R64,24.7,1850.1
45,Fabio Fognini,34.9,1818.1,,1700,1777.8,1629.1,,1759,1797.9,1723.6,,2014 Munich SF,26.9,2007.7
46,Daniel Evans,31.9,1810.4,,1740,1595,1687.3,,1775.2,1702.7,1748.8,,2021 Monte Carlo QF,30.9,1886.5
47,Jeremy Chardy,34.5,1807.2,,1751.3,1669.2,1543.8,,1779.2,1738.2,1675.5,,2009 Cincinnati R64,22.5,1897.6
48,Marton Fucsovics,30.2,1800.4,,1709.8,1650,1610.6,,1755.1,1725.2,1705.5,,2021 Miami R64,29.1,1924
49,Benjamin Bonzi,25.9,1798.8,,1714.5,1574.5,1671.3,,1756.7,1686.7,1735.1,,2021 Orleans CH R32,25.3,1807.7
50,Lloyd Harris,25.2,1798.6,,1731.9,1589.6,1431.7,,1765.3,1694.1,1615.1,,2021 Antwerp QF,24.6,1889.9
51,Aslan Karatsev,28.7,1793.8,,1731,1668.8,1322.6,,1762.4,1731.3,1558.2,,2021 Rome R32,27.7,1967.3
52,Jack Draper,20.4,1791.9,,1763.6,1347.3,1363.3,,1777.8,1569.6,1577.6,,2022 Rome CH R32,20.3,1820.6
53,Pedro Martinez,25,1791.9,,1609.6,1703.1,1420.7,,1700.7,1747.5,1606.3,,2022 Monte Carlo R64,25,1821.8
54,Alex Molcan,24.4,1787.7,,1649,1724.4,1497.6,,1718.3,1756,1642.6,,2022 Marrakech SF,24.3,1824.1
55,Yoshihito Nishioka,26.6,1786.9,,1724.7,1606.9,1394.3,,1755.8,1696.9,1590.6,,2020 Delray Beach SF,24.4,1883.1
56,Tallon Griekspoor,25.8,1783.5,,1635.3,1750.2,1513.3,,1709.4,1766.9,1648.4,,2022 Australian Open R128,25.5,1923
57,Mackenzie Mcdonald,27,1778.3,,1724.7,1571.9,1610.3,,1751.5,1675.1,1694.3,,2022 Miami R64,26.9,1813.1
58,Nikoloz Basilashvili,30.2,1778.2,,1661.1,1711.8,1549.9,,1719.7,1745,1664,,2018 Shanghai R64,26.6,1877.7
59,Oscar Otte,28.8,1774.7,,1649.5,1627.5,1515.8,,1712.1,1701.1,1645.3,,2022 Adelaide 1 Qual,28.5,1795.3
60,Arthur Rinderknech,26.7,1771.4,,1672.5,1700,1567.3,,1721.9,1735.7,1669.3,,2022 Doha QF,26.6,1834.4
61,Richard Gasquet,35.9,1766.9,,1666.5,1677.7,1610.3,,1716.7,1722.3,1688.6,,2013 Monte Carlo R16,26.8,2051.8
62,Jack Sock,29.6,1765.5,,1670,1709.6,1512.4,,1717.8,1737.6,1639,,2017 Indian Wells QF,24.4,2037.1
63,Jaume Munar,25,1765,,1594.7,1698.8,1219.5,,1679.9,1731.9,1492.2,,2021 Estoril Qual,24,1801.6
64,Jiri Lehecka,20.5,1760.2,,1689.8,1651.9,1500,,1725,1706.1,1630.1,,2022 Mauthausen CH SF,20.5,1787.1
